Restaurant,Dish Type,Name,Description
Buffalo Wild Wings,Sharables & Sides,Ultimate Nachos w/ chicken,
Buffalo Wild Wings,Sharables & Sides,Mozzarella Sticks,
Buffalo Wild Wings,Sharables & Sides,Chips & Salsa,
Buffalo Wild Wings,Sharables & Sides,Chili Con Queso Dip,
Buffalo Wild Wings,Sharables & Sides,Mini Corn Dogs,
Buffalo Wild Wings,Sharables & Sides,Roasted Garlic Mushrooms,
Buffalo Wild Wings,Sharables & Sides,Fried Pickles,
Buffalo Wild Wings,Sharables & Sides,Spinach Artichoke Dip ,
Buffalo Wild Wings,Sharables & Sides,Soft Pretzels,
Buffalo Wild Wings,Sharables & Sides,Jalapeño Pepper Bites,
Buffalo Wild Wings,Sharables & Sides,Chicken Quesadilla,
Buffalo Wild Wings,Sharables & Sides,The Sampler,
Buffalo Wild Wings,Sharables & Sides,Tablegating Sampler,
Buffalo Wild Wings,Sharables & Sides,Slammers (Cheeseburger),
Buffalo Wild Wings,Sharables & Sides,Slammers (Pulled Pork),
Buffalo Wild Wings,Sharables & Sides,Garden Crasher,
Buffalo Wild Wings,Sharables & Sides,Cheese Curds,
Buffalo Wild Wings,Sharables & Sides,French Fries (Basket),
Buffalo Wild Wings,Sharables & Sides,French Fries (Basket w/cheese),
Buffalo Wild Wings,Sharables & Sides,French Fries (Regular),
Buffalo Wild Wings,Sharables & Sides,French Fries (Regular w/cheese),
Buffalo Wild Wings,Sharables & Sides,Potato Wedges (Basket),
Buffalo Wild Wings,Sharables & Sides,Potato Wedges (Basket w/cheese),
Buffalo Wild Wings,Sharables & Sides,Potato Wedges (Regular),
Buffalo Wild Wings,Sharables & Sides,Potato Wedges (Regular w/cheese),
Buffalo Wild Wings,Sharables & Sides,Buffalo Chips (Basket), 
Buffalo Wild Wings,Sharables & Sides,Buffalo Chips (Basket w/cheese),
Buffalo Wild Wings,Sharables & Sides,Buffalo Chips (Regular),
Buffalo Wild Wings,Sharables & Sides,Buffalo Chips (Regular w/cheese),
Buffalo Wild Wings,Sharables & Sides,Onion Rings (Basket),
Buffalo Wild Wings,Sharables & Sides,Onion Rings (Regular),
Buffalo Wild Wings,Sharables & Sides,Mac & Cheese,
Buffalo Wild Wings,Sharables & Sides,Garden Side Salad,
Buffalo Wild Wings,Sharables & Sides,Caesar Side Salad,
Buffalo Wild Wings,Sharables & Sides,Coleslaw,
Buffalo Wild Wings,Thin Crust Flatbreads,Buffalo Chicken,
Buffalo Wild Wings,Thin Crust Flatbreads,Spinach Artichoke Chicken,
Buffalo Wild Wings,Thin Crust Flatbreads,Parmesan Garlic Chicken,
