Restaurant,Dish Type,Name,Description
Panera Bread,What We're Celebrating,Turkey Cranberry Flatbread Sandwich,"Get a sneak peek at your Thanksgiving favorites with our newest flatbread sandwich. Made with tender strips of all-natural, slow-roasted turkey then layered with zesty cranberry mostarda, spiBnAaCcOhN and oLuErTTgUaCrElic aCHnIdCKhENe/rTbURcKhEeY ese sCpHrEeEaSEd, it’s suPIrGe/CtOoWget you in the mood for fall."
Panera Bread,What We're Celebrating,Butternut Squash Ravioli,"All the rich tastes of the season are here and you can find them in our newest addition to Panera pasta. It all starts with sage and egg striped noodles. We fill them with a mixture of butternut squash, butter, brown sugar and amaretti cookies then toss it all in a leek and garlic cream sauce for a mouthwatering bowl of fall flavor."
Panera Bread,What We're Celebrating,Pumpkin Spice Latte,"That’s right, it’s pumpkin time! This returning latte celebrates America’s favorite fall squash in a cup of pure fall delight. Made with freshly brewed espresso, foamed milk and the taste of pumpkin spice, then topped with whipped cream and caramel sauce, it’s the perfect way to treat yourself on any autumn day."
Panera Bread,What We're Celebrating,"Turkey Sausage, Egg White & Spinach Breakfast Power Sandwich","Add a boost of flavor to your morning with our newest breakfast power sandwich. Made with turkey sausage, egg whites, tangy Vermont white cheddar and fresh spinach and tomato on our Sprouted Grain Bagel Flat, this is one sandwich that’s sure to help you power through your day."
Panera Bread,What We're Celebrating,Vegetarian Autumn Squash Soup,"With fall comes the harvest, and we’re taking full advantage to bring you fresh flavors in their peak. Rich and sweet with a slightly nutty taste, butternut squash comes to life in our new Vegetarian Autumn Squash Soup. Blended with pumpkin and spices, it’s a seasonal delight you won’t want to miss."
Panera Bread,What We're Celebrating,Cherry Vanilla Bagel,"Back for the fall, it’s one of our most popular seasonal tastes — our Cherry Vanilla Bagel! Our bakers have blended the flavors of sweet cherries and cranberries with vanilla, honey and lucious brown sugar for a freshly baked treat that’s delicious with our New York Style Cheesecake Cream Cheese Spread."
Panera Bread,What We're Celebrating,Caramel Apple Scone,"Some flavors were just meant to be together, and we think apples and caramel are definitely on the list. Sweet with the fresh taste of fall, our new Caramel Apple Scone brings together the taste of cinnamon apples and caramel to create a freshly baked treat we think you'll love."
Panera Bread,Breakfast Sandwiches,Steak & Egg on Everything Bagel,"All-natural egg, Vermont white cheddar and seared steak on our Everything Bagel."
Panera Bread,Breakfast Sandwiches,Mediterranean Egg White on Ciabatta,"Egg whites, Vermont white cheddar, roasted tomatoes, fresh spinach and basil pesto on Ciabatta."
Panera Bread,Breakfast Sandwiches,"Bacon, Egg & Cheese on Ciabatta","All-natural egg, Vermont white cheddar and applewood-smoked bacon on Ciabatta."
Panera Bread,Breakfast Sandwiches,"Sausage, Egg & Cheese on Ciabatta","All-natural egg, Vermont white cheddar and all-natural sausage on Ciabatta."
Panera Bread,Breakfast Sandwiches,Egg & Cheese on Ciabatta,All-natural egg and Vermont white cheddar on Ciabatta.
Panera Bread,Breakfast Sandwiches,"Bacon, Egg & Cheese on Asiago Cheese Bagel","All-natural egg, Vermont white cheddar and applewood-smoked bacon on our Asiago Cheese bagel."
Panera Bread,Breakfast Power Sandwiches,Breakfast Power Sandwich,"All-natural egg, Vermont white cheddar and smoked, lean ham on Whole Grain."
Panera Bread,Breakfast Power Sandwiches,"Egg White, Avocado & Spinach Breakfast Power Sandwich","Egg whites, Vermont white cheddar, avocado, fresh spinach and tomato on our Sprouted Grain Bagel Flat."
Panera Bread,Breakfast Power Sandwiches,"Turkey Sausage, Egg White & Spinach Breakfast Power Sandwich","Turkey sausage cooked into egg whites, Vermont white cheddar, fresh spinach and tomato on a Sprouted Grain Bagel Flat."
Panera Bread,Breakfast Favorites,Steel Cut Oatmeal,"Organic steel cut oats with cinnamon crunch topping, pecans and your choice of apple chips or fresh strawberries."
Panera Bread,Breakfast Favorites,Strawberry Granola Parfait,"Stonyfield Farm low-fat, organize vanilla yogurt and maple butter pecan granola with whole grain oats and fresh strawberries."
Panera Bread,Breakfast Favorites,Seasonal Fruit Cup,
Panera Bread,Bagels & Cream Cheese Spreads,Bagels,"Plain, Sprouted Grain Flat, Whole Grain, Everything, Sesame, Chocolate Chip, French Toast, Blueberry, Cherry Vanilla, Cinnamon Crunch, Cinnamon Swirl & Raisin, Asiago Cheese"
Panera Bread,Bagels & Cream Cheese Spreads,Bagel Pack,"13 bagels, two tubs of spreads."
Panera Bread,Bagels & Cream Cheese Spreads,Dozen & a Half,18 bagels
Panera Bread,Bagels & Cream Cheese Spreads,Baker's Dozen,13 bagels
Panera Bread,Bagels & Cream Cheese Spreads,Half Dozen,6 bagels
Panera Bread,Bagels & Cream Cheese Spreads,Cream Cheese Spreads,"Plain and Reduced-Fat: Plain, Hazelnut, New York Style Cheesecake, Chive & Onion, Wild Blueberry, Roasted Vegetable Medley, Honey Walnut"
Panera Bread,Pastries & Sweets,Pastries,"Cinnamon Roll, Cobblestone, Pecan Roll, Bear Claw, Pecan Braid, Cheese, Chocolate, Cherry, French Croissant"
Panera Bread,Pastries & Sweets,Scones,"Caramel Apple, Wild Blueberry, Orange, Cinnamon Crunch, Mini Scones Variety Pack"
Panera Bread,Pastries & Sweets,Muffins,"Wild Blueberry, Pumpking, Apple Crunch, Cranberry Orange"
